anio;Cod.Dep;Dep;edad;Hombres;Mujeres
2005;5;Antioquia;0;55376;52215
2005;5;Antioquia;1;51385;49519
2005;5;Antioquia;2;50873;48400
2005;5;Antioquia;3;51227;48768
2005;5;Antioquia;4;52662;50437
2005;5;Antioquia;5;56422;53658
2005;5;Antioquia;6;55762;52967
2005;5;Antioquia;7;53666;51627
2005;5;Antioquia;8;55675;53741
2005;5;Antioquia;9;57621;55816
2005;5;Antioquia;10;59425;56438
2005;5;Antioquia;11;58949;56766
2005;5;Antioquia;12;57203;55521
2005;5;Antioquia;13;57493;55425
2005;5;Antioquia;14;58216;55880
2005;5;Antioquia;15;56071;55326
2005;5;Antioquia;16;55302;54793
2005;5;Antioquia;17;53594;52856
2005;5;Antioquia;18;51874;52332
2005;5;Antioquia;19;48759;50553
2005;5;Antioquia;20;48415;51132
2005;5;Antioquia;21;46469;48492
2005;5;Antioquia;22;45514;48278
2005;5;Antioquia;23;46915;49972
2005;5;Antioquia;24;46154;48970
2005;5;Antioquia;25;46201;49057
2005;5;Antioquia;26;43984;48073
2005;5;Antioquia;27;40076;44104
2005;5;Antioquia;28;38857;42783
2005;5;Antioquia;29;36582;41548
2005;5;Antioquia;30;36611;40419
2005;5;Antioquia;31;34697;39586
2005;5;Antioquia;32;35176;40035
2005;5;Antioquia;33;36258;41048
2005;5;Antioquia;34;36673;41141
2005;5;Antioquia;35;37881;42460
2005;5;Antioquia;36;39345;44712
2005;5;Antioquia;37;38318;43807
2005;5;Antioquia;38;38669;43249
2005;5;Antioquia;39;38650;44230
2005;5;Antioquia;40;39112;43954
2005;5;Antioquia;41;38161;43467
2005;5;Antioquia;42;38515;43324
2005;5;Antioquia;43;37193;42225
2005;5;Antioquia;44;34372;38784
2005;5;Antioquia;45;35185;39314
2005;5;Antioquia;46;32077;37401
2005;5;Antioquia;47;30423;35728
2005;5;Antioquia;48;30465;35123
2005;5;Antioquia;49;28687;33043
2005;5;Antioquia;50;28058;31935
2005;5;Antioquia;51;26240;30169
2005;5;Antioquia;52;25146;28891
2005;5;Antioquia;53;23898;27505
2005;5;Antioquia;54;22600;25102
2005;5;Antioquia;55;22095;25429
2005;5;Antioquia;56;20845;23839
2005;5;Antioquia;57;19441;22621
2005;5;Antioquia;58;18236;21175
2005;5;Antioquia;59;16415;19581
2005;5;Antioquia;60;16786;19378
2005;5;Antioquia;61;14486;17232
2005;5;Antioquia;62;14406;16578
2005;5;Antioquia;63;13977;16453
2005;5;Antioquia;64;12782;15118
2005;5;Antioquia;65;13763;15892
2005;5;Antioquia;66;11919;14390
2005;5;Antioquia;67;11528;14151
2005;5;Antioquia;68;10533;13028
2005;5;Antioquia;69;10142;12357
2005;5;Antioquia;70;10272;12885
2005;5;Antioquia;71;9412;11399
2005;5;Antioquia;72;8733;11053
2005;5;Antioquia;73;8388;10263
2005;5;Antioquia;74;7734;9712
2005;5;Antioquia;75;7655;10051
2005;5;Antioquia;76;6510;8419
2005;5;Antioquia;77;6046;7805
2005;5;Antioquia;78;5471;6981
2005;5;Antioquia;79;4706;6148
2005;5;Antioquia;80;4154;5536
2005;5;Antioquia;81;3325;4740
2005;5;Antioquia;82;2983;4185
2005;5;Antioquia;83;2756;3958
2005;5;Antioquia;84;2405;3409
2005;5;Antioquia;85;2253;3476
2005;5;Antioquia;86;1790;2575
2005;5;Antioquia;87;1411;2148
2005;5;Antioquia;88;1298;1922
2005;5;Antioquia;89;1011;1606
2005;5;Antioquia;90;780;1333
2005;5;Antioquia;91;644;996
2005;5;Antioquia;92;496;813
2005;5;Antioquia;93;393;664
2005;5;Antioquia;94;306;475
2005;5;Antioquia;95;248;425
2005;5;Antioquia;96;151;240
2005;5;Antioquia;97;103;232
2005;5;Antioquia;98;88;153
2005;5;Antioquia;99;59;107
2005;5;Antioquia;100;54;69
2005;5;Antioquia;101;30;67
2005;5;Antioquia;102;15;44
2005;5;Antioquia;103;10;30
2005;5;Antioquia;104;7;13
2005;5;Antioquia;105;13;13
2005;5;Antioquia;106;5;4
2005;5;Antioquia;107;7;2
2005;5;Antioquia;108;NA;3
2005;5;Antioquia;109;2;NA
2005;5;Antioquia;110;1;3
2005;5;Antioquia;111;3;2
2005;5;Antioquia;112;2;3
2005;5;Antioquia;115;6;2
2005;8;Atlántico;0;22986;21234
2005;8;Atlántico;1;21411;20448
2005;8;Atlántico;2;21788;20784
2005;8;Atlántico;3;22125;21060
2005;8;Atlántico;4;22575;21023
2005;8;Atlántico;5;24003;22865
2005;8;Atlántico;6;22021;20538
2005;8;Atlántico;7;20928;20214
2005;8;Atlántico;8;20994;20183
2005;8;Atlántico;9;20766;19712
2005;8;Atlántico;10;21441;20369
2005;8;Atlántico;11;20413;19796
2005;8;Atlántico;12;20416;19570
2005;8;Atlántico;13;21425;20443
2005;8;Atlántico;14;21392;20738
2005;8;Atlántico;15;21334;21033
2005;8;Atlántico;16;20678;20638
2005;8;Atlántico;17;19717;19885
2005;8;Atlántico;18;19512;19922
2005;8;Atlántico;19;19107;20632
2005;8;Atlántico;20;20245;21717
2005;8;Atlántico;21;19382;20483
2005;8;Atlántico;22;19353;20870
2005;8;Atlántico;23;19172;20785
2005;8;Atlántico;24;18542;20002
2005;8;Atlántico;25;18947;20237
2005;8;Atlántico;26;17487;19111
2005;8;Atlántico;27;16252;17641
2005;8;Atlántico;28;16523;17514
2005;8;Atlántico;29;14961;16344
2005;8;Atlántico;30;15113;16797
2005;8;Atlántico;31;13452;14936
2005;8;Atlántico;32;13865;15365
2005;8;Atlántico;33;14994;16389
2005;8;Atlántico;34;13945;15348
2005;8;Atlántico;35;15084;16598
2005;8;Atlántico;36;14055;15934
2005;8;Atlántico;37;14131;16101
2005;8;Atlántico;38;13922;15772
2005;8;Atlántico;39;13491;15537
2005;8;Atlántico;40;14791;16410
2005;8;Atlántico;41;13596;15342
2005;8;Atlántico;42;14376;15736
2005;8;Atlántico;43;13266;14653
2005;8;Atlántico;44;12518;13703
2005;8;Atlántico;45;12970;14303
2005;8;Atlántico;46;11108;12566
2005;8;Atlántico;47;10704;11799
2005;8;Atlántico;48;10652;11774
2005;8;Atlántico;49;9751;10976
2005;8;Atlántico;50;10020;11085
2005;8;Atlántico;51;8776;9840
2005;8;Atlántico;52;8892;9644
2005;8;Atlántico;53;8426;9230
2005;8;Atlántico;54;7491;8237
2005;8;Atlántico;55;8035;9039
2005;8;Atlántico;56;6834;7372
2005;8;Atlántico;57;6750;7526
2005;8;Atlántico;58;5902;6634
2005;8;Atlántico;59;5572;6378
2005;8;Atlántico;60;5684;6462
2005;8;Atlántico;61;4563;5431
2005;8;Atlántico;62;4421;4895
2005;8;Atlántico;63;4568;5405
2005;8;Atlántico;64;4170;4786
2005;8;Atlántico;65;5027;5976
2005;8;Atlántico;66;3793;4663
2005;8;Atlántico;67;3828;4644
2005;8;Atlántico;68;3489;4437
2005;8;Atlántico;69;3321;4198
2005;8;Atlántico;70;3559;4618
2005;8;Atlántico;71;2828;3543
2005;8;Atlántico;72;2953;3823
2005;8;Atlántico;73;2506;3198
2005;8;Atlántico;74;2467;2934
2005;8;Atlántico;75;2610;3610
2005;8;Atlántico;76;2222;2726
2005;8;Atlántico;77;2187;2943
2005;8;Atlántico;78;1907;2460
2005;8;Atlántico;79;1729;2269
2005;8;Atlántico;80;1482;2122
2005;8;Atlántico;81;1273;1793
2005;8;Atlántico;82;1186;1644
2005;8;Atlántico;83;1072;1594
2005;8;Atlántico;84;918;1379
2005;8;Atlántico;85;962;1457
2005;8;Atlántico;86;707;970
2005;8;Atlántico;87;608;932
2005;8;Atlántico;88;412;750
2005;8;Atlántico;89;418;755
2005;8;Atlántico;90;254;457
2005;8;Atlántico;91;286;424
2005;8;Atlántico;92;170;334
2005;8;Atlántico;93;149;266
2005;8;Atlántico;94;107;198
2005;8;Atlántico;95;78;199
2005;8;Atlántico;96;53;92
2005;8;Atlántico;97;33;73
2005;8;Atlántico;98;30;75
2005;8;Atlántico;99;20;46
2005;8;Atlántico;100;11;38
2005;8;Atlántico;101;13;25
2005;8;Atlántico;102;6;26
2005;8;Atlántico;103;9;11
2005;8;Atlántico;104;1;8
2005;8;Atlántico;105;4;10
2005;8;Atlántico;106;NA;3
2005;8;Atlántico;107;NA;1
2005;8;Atlántico;109;NA;1
2005;8;Atlántico;110;1;1
2005;8;Atlántico;111;3;3
2005;8;Atlántico;112;NA;1
2005;8;Atlántico;115;1;NA
2005;11;Bogotá;0;59840;56050
2005;11;Bogotá;1;56430;53532
2005;11;Bogotá;2;55871;54537
2005;11;Bogotá;3;57058;55499
2005;11;Bogotá;4;59343;56835
2005;11;Bogotá;5;61389;59363
2005;11;Bogotá;6;62909;60524
2005;11;Bogotá;7;63641;61207
2005;11;Bogotá;8;64782;62227
